timestamp,test_suite,predicted_induced_state,three_sec_predicted_induced_state,predicted_induced_state_confidence,three_sec_predicted_induced_state_confidence,top_three_features
1626275657000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.321 0.138 0.135],[0.135 0.136 0.135 0.321 0.138 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275658000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.320 0.140 0.135],[0.135 0.136 0.135 0.320 0.140 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275659000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.320 0.139 0.135],[0.135 0.136 0.135 0.320 0.139 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275660000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.321 0.138 0.135],[0.135 0.136 0.135 0.321 0.138 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275661000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.320 0.139 0.135],[0.135 0.136 0.135 0.320 0.139 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275662000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.320 0.139 0.135],[0.135 0.136 0.135 0.320 0.139 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275663000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.321 0.138 0.135],[0.135 0.136 0.135 0.321 0.138 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275664000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.320 0.139 0.135],[0.135 0.136 0.135 0.320 0.139 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275665000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.321 0.138 0.135],[0.135 0.136 0.135 0.321 0.138 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275666000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.320 0.139 0.135],[0.135 0.136 0.135 0.320 0.139 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275667000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.321 0.138 0.135],[0.135 0.136 0.135 0.321 0.138 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275668000000,Provisional-Test-025,baseline,baseline,[0.125 0.126 0.125 0.297 0.201 0.125],[0.125 0.126 0.125 0.297 0.201 0.125],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275669000000,Provisional-Test-025,baseline,baseline,[0.125 0.126 0.125 0.297 0.201 0.125],[0.125 0.126 0.125 0.297 0.201 0.125],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275670000000,Provisional-Test-025,baseline,baseline,[0.125 0.126 0.125 0.297 0.201 0.125],[0.125 0.126 0.125 0.297 0.201 0.125],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275671000000,Provisional-Test-025,baseline,baseline,[0.135 0.136 0.135 0.320 0.139 0.135],[0.135 0.136 0.135 0.320 0.139 0.135],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275672000000,Provisional-Test-025,baseline,baseline,[0.125 0.126 0.125 0.297 0.201 0.125],[0.125 0.126 0.125 0.297 0.201 0.125],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275673000000,Provisional-Test-025,baseline,baseline,[0.125 0.126 0.125 0.297 0.201 0.125],[0.125 0.126 0.125 0.297 0.201 0.125],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275674000000,Provisional-Test-025,baseline,baseline,[0.125 0.126 0.125 0.297 0.201 0.125],[0.125 0.126 0.125 0.297 0.201 0.125],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275675000000,Provisional-Test-025,baseline,baseline,[0.125 0.126 0.125 0.297 0.201 0.125],[0.125 0.126 0.125 0.297 0.201 0.125],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275676000000,Provisional-Test-025,baseline,baseline,[0.125 0.126 0.125 0.297 0.201 0.125],[0.125 0.126 0.125 0.297 0.201 0.125],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275677000000,Provisional-Test-025,baseline,baseline,[0.125 0.126 0.125 0.297 0.201 0.125],[0.125 0.126 0.125 0.297 0.201 0.125],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275678000000,Provisional-Test-025,baseline,baseline,[0.125 0.126 0.125 0.297 0.201 0.125],[0.125 0.126 0.125 0.297 0.201 0.125],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275679000000,Provisional-Test-025,baseline,baseline,[0.134 0.124 0.124 0.294 0.199 0.124],[0.134 0.124 0.124 0.294 0.199 0.124],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275680000000,Provisional-Test-025,baseline,baseline,[0.131 0.125 0.125 0.295 0.200 0.124],[0.131 0.125 0.125 0.295 0.200 0.124],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275681000000,Provisional-Test-025,baseline,baseline,[0.134 0.134 0.134 0.317 0.147 0.133],[0.134 0.134 0.134 0.317 0.147 0.133],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275682000000,Provisional-Test-025,baseline,baseline,[0.126 0.126 0.125 0.297 0.201 0.125],[0.126 0.126 0.125 0.297 0.201 0.125],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275683000000,Provisional-Test-025,baseline,baseline,[0.126 0.125 0.125 0.297 0.201 0.125],[0.126 0.125 0.125 0.297 0.201 0.125],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275684000000,Provisional-Test-025,baseline,baseline,[0.139 0.123 0.123 0.293 0.198 0.123],[0.139 0.123 0.123 0.293 0.198 0.123],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275685000000,Provisional-Test-025,baseline,baseline,[0.136 0.124 0.124 0.294 0.199 0.124],[0.136 0.124 0.124 0.294 0.199 0.124],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275686000000,Provisional-Test-025,baseline,baseline,[0.135 0.124 0.124 0.294 0.199 0.124],[0.135 0.124 0.124 0.294 0.199 0.124],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275687000000,Provisional-Test-025,baseline,baseline,[0.135 0.124 0.124 0.294 0.199 0.124],[0.135 0.124 0.124 0.294 0.199 0.124],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275688000000,Provisional-Test-025,baseline,baseline,[0.134 0.124 0.124 0.294 0.199 0.124],[0.134 0.124 0.124 0.294 0.199 0.124],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275689000000,Provisional-Test-025,baseline,baseline,[0.134 0.124 0.124 0.294 0.199 0.124],[0.134 0.124 0.124 0.294 0.199 0.124],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275690000000,Provisional-Test-025,baseline,baseline,[0.138 0.127 0.127 0.273 0.208 0.127],[0.138 0.127 0.127 0.273 0.208 0.127],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275691000000,Provisional-Test-025,baseline,baseline,[0.149 0.137 0.137 0.294 0.146 0.137],[0.149 0.137 0.137 0.294 0.146 0.137],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626275692000000,Provisional-Test-025,baseline,baseline,[0.138 0.127 0.127 0.273 0.208 0.127],[0.138 0.127 0.127 0.273 0.208 0.127],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276083000000,Provisional-Test-025,channelized,channelized,[0.149 0.149 0.148 0.148 0.258 0.148],[0.149 0.149 0.148 0.148 0.258 0.148],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276084000000,Provisional-Test-025,channelized,channelized,[0.143 0.133 0.133 0.134 0.323 0.133],[0.143 0.133 0.133 0.134 0.323 0.133],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276085000000,Provisional-Test-025,channelized,channelized,[0.135 0.135 0.135 0.136 0.326 0.134],[0.135 0.135 0.135 0.136 0.326 0.134],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276086000000,Provisional-Test-025,channelized,channelized,[0.136 0.134 0.135 0.136 0.325 0.134],[0.136 0.134 0.135 0.136 0.325 0.134],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276087000000,Provisional-Test-025,channelized,channelized,[0.151 0.151 0.151 0.152 0.245 0.150],[0.151 0.151 0.151 0.152 0.245 0.150],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276088000000,Provisional-Test-025,channelized,channelized,[0.137 0.135 0.135 0.136 0.324 0.134],[0.137 0.135 0.135 0.136 0.324 0.134],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276089000000,Provisional-Test-025,channelized,channelized,[0.136 0.135 0.135 0.136 0.325 0.134],[0.136 0.135 0.135 0.136 0.325 0.134],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276090000000,Provisional-Test-025,channelized,channelized,[0.136 0.135 0.135 0.136 0.325 0.134],[0.136 0.135 0.135 0.136 0.325 0.134],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276091000000,Provisional-Test-025,channelized,channelized,[0.135 0.135 0.135 0.136 0.325 0.134],[0.135 0.135 0.135 0.136 0.325 0.134],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276092000000,Provisional-Test-025,channelized,channelized,[0.136 0.135 0.134 0.136 0.325 0.134],[0.136 0.135 0.134 0.136 0.325 0.134],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276093000000,Provisional-Test-025,channelized,channelized,[0.135 0.135 0.135 0.136 0.326 0.134],[0.135 0.135 0.135 0.136 0.326 0.134],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276094000000,Provisional-Test-025,channelized,channelized,[0.135 0.135 0.135 0.136 0.326 0.134],[0.135 0.135 0.135 0.136 0.326 0.134],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276095000000,Provisional-Test-025,channelized,channelized,[0.136 0.135 0.134 0.136 0.325 0.134],[0.136 0.135 0.134 0.136 0.325 0.134],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276096000000,Provisional-Test-025,channelized,channelized,[0.152 0.151 0.155 0.153 0.238 0.151],[0.152 0.151 0.155 0.153 0.238 0.151],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276097000000,Provisional-Test-025,channelized,channelized,[0.147 0.146 0.173 0.149 0.240 0.145],[0.147 0.146 0.173 0.149 0.240 0.145],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276098000000,Provisional-Test-025,channelized,channelized,[0.131 0.131 0.156 0.132 0.318 0.131],[0.131 0.131 0.156 0.132 0.318 0.131],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276099000000,Provisional-Test-025,channelized,channelized,[0.148 0.147 0.175 0.149 0.233 0.147],[0.148 0.147 0.175 0.149 0.233 0.147],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276100000000,Provisional-Test-025,channelized,channelized,[0.134 0.131 0.156 0.132 0.316 0.131],[0.134 0.131 0.156 0.132 0.316 0.131],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276101000000,Provisional-Test-025,channelized,channelized,[0.132 0.131 0.158 0.132 0.316 0.131],[0.132 0.131 0.158 0.132 0.316 0.131],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276102000000,Provisional-Test-025,channelized,channelized,[0.144 0.144 0.174 0.145 0.249 0.143],[0.144 0.144 0.174 0.145 0.249 0.143],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276103000000,Provisional-Test-025,channelized,channelized,[0.146 0.146 0.176 0.147 0.240 0.145],[0.146 0.146 0.176 0.147 0.240 0.145],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276104000000,Provisional-Test-025,channelized,channelized,[0.132 0.132 0.159 0.132 0.315 0.130],[0.132 0.132 0.159 0.132 0.315 0.130],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276105000000,Provisional-Test-025,channelized,channelized,[0.131 0.133 0.159 0.132 0.316 0.130],[0.131 0.133 0.159 0.132 0.316 0.130],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276106000000,Provisional-Test-025,channelized,channelized,[0.132 0.131 0.159 0.132 0.316 0.131],[0.132 0.131 0.159 0.132 0.316 0.131],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276107000000,Provisional-Test-025,channelized,channelized,[0.132 0.132 0.160 0.133 0.313 0.132],[0.132 0.132 0.160 0.133 0.313 0.132],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276108000000,Provisional-Test-025,channelized,channelized,[0.131 0.131 0.159 0.132 0.316 0.131],[0.131 0.131 0.159 0.132 0.316 0.131],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276109000000,Provisional-Test-025,channelized,channelized,[0.145 0.144 0.175 0.145 0.248 0.143],[0.145 0.144 0.175 0.145 0.248 0.143],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276110000000,Provisional-Test-025,channelized,channelized,[0.131 0.131 0.158 0.132 0.316 0.131],[0.131 0.131 0.158 0.132 0.316 0.131],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276111000000,Provisional-Test-025,channelized,channelized,[0.131 0.131 0.159 0.132 0.317 0.131],[0.131 0.131 0.159 0.132 0.317 0.131],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276112000000,Provisional-Test-025,channelized,channelized,[0.132 0.131 0.159 0.132 0.316 0.131],[0.132 0.131 0.159 0.132 0.316 0.131],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276113000000,Provisional-Test-025,channelized,channelized,[0.130 0.130 0.167 0.131 0.313 0.129],[0.130 0.130 0.167 0.131 0.313 0.129],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276114000000,Provisional-Test-025,channelized,channelized,[0.130 0.130 0.167 0.131 0.313 0.129],[0.130 0.130 0.167 0.131 0.313 0.129],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276115000000,Provisional-Test-025,channelized,channelized,[0.137 0.129 0.166 0.130 0.311 0.128],[0.137 0.129 0.166 0.130 0.311 0.128],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
1626276116000000,Provisional-Test-025,channelized,channelized,[0.132 0.130 0.167 0.130 0.313 0.129],[0.132 0.130 0.167 0.130 0.313 0.129],['LooxidLink_EEG_A4' 'LooxidLink_EEG_FP1' 'LooxidLink_EEG_A3']
